2020-09-23 11:17:52 CST LOG:  database system was shut down at 2020-09-23 11:17:09 CST
2020-09-23 11:17:52 CST FATAL:  the database system is starting up
2020-09-23 11:17:53 CST LOG:  MultiXact member wraparound protections are now enabled
2020-09-23 11:17:53 CST LOG:  database system is ready to accept connections
2020-09-23 11:17:53 CST LOG:  autovacuum launcher started
2020-09-23 11:21:45 CST LOG:  received fast shutdown request
2020-09-23 11:21:45 CST LOG:  aborting any active transactions
2020-09-23 11:21:45 CST LOG:  autovacuum launcher shutting down
2020-09-23 11:21:45 CST LOG:  shutting down
2020-09-23 11:21:45 CST LOG:  database system is shut down
